geneID	SRR7652568	SRR7652563	healthy.AVG
Solyc12g049613.1.1	3.26	3.06	3.33
Solyc08g069130.1.1	2.22	2.84	2.23
Solyc09g005140.2.1	1.36	1.13	1.84
Solyc09g018500.2.1	-0.99	-0.47	1.12
Solyc12g007170.2.1	7.6	8.01	6.69
Solyc06g084045.1.1	7.45	6.99	8.18
Solyc07g042010.3.1	2.83	2.85	2.71
Solyc11g005350.2.1	2.26	2.68	2.78
Solyc04g071480.1.1	5.06	4.93	5.36
Solyc04g076200.3.1	5.19	4.99	5.45
Solyc12g010980.2.1	5.85	7.07	5.96
Solyc07g054830.3.1	5.75	5.61	5.9
Solyc11g071470.1.1	1.5	1.85	-0.04
Solyc07g017780.3.1	9.93	9.93	9.82
Solyc10g007720.3.1	4.63	4.64	4.84
Solyc11g062430.2.1	5.03	5.14	4.9
Solyc09g005740.2.1	4.76	4.1	4.52
Solyc12g010680.2.1	2.62	2.17	2.39
Solyc06g050120.3.1	6.64	6.86	7.22
Solyc03g119890.3.1	3.16	3.41	3.07
Solyc08g048400.2.1	3.21	3.32	3.23
Solyc08g068070.3.1	3.63	3.57	3.18
Solyc10g081410.2.1	2.29	2.1	2.33
Solyc04g082700.3.1	6.79	7	6.63
Solyc01g087490.3.1	6.55	6.66	6.14
Solyc01g097790.3.1	4.04	4.2	3.88
Solyc01g109720.3.1	-0.5	-0.47	2.32
Solyc07g039505.1.1	1.26	0.74	1.6
Solyc06g009670.3.1	1.51	1.05	1.62
Solyc08g062680.1.1	2.83	2.64	2.65
Solyc08g061015.1.1	1.77	1.76	1.61
Solyc11g010170.2.1	3.95	4.77	2.77
Solyc04g007020.3.1	6.15	5.98	5.98
Solyc01g100200.3.1	4.64	2.93	3.89
Solyc06g011370.3.1	5.48	5.44	4.77
Solyc07g008900.3.1	6.02	5.96	6.39
Solyc03g114070.3.1	3.88	3.53	4.88
Solyc01g098160.3.1	6.25	6.4	6.46
Solyc11g068820.2.1	7.88	7.61	8.83
Solyc03g045140.3.1	3.42	3.09	1.99
Solyc12g014170.2.1	5.07	5.04	4.44
Solyc04g010260.3.1	6.27	6.46	6.21
Solyc01g107930.3.1	3.91	3.91	3.76
Solyc07g065470.3.1	2.86	2.73	2.36
Solyc01g080010.2.1	1.9	2.13	3.04
Solyc03g059490.1.1	5.49	5.42	5.52
Solyc01g109580.3.1	2.27	1.62	2.71
Solyc12g055830.2.1	5.42	5.57	5.63
Solyc01g108170.3.1	1.63	1.27	1.88
Solyc01g067750.3.1	6.33	6.31	7.34
Solyc12g008420.2.1	4.82	4.92	4.87
Solyc12g005850.2.1	3.09	3.07	3.95
Solyc03g115450.1.1	0.74	0.34	0.4
Solyc07g047830.3.1	4.15	4.34	4.14
Solyc06g082380.3.1	2.85	3.08	3.17
Solyc05g014100.2.1	3.53	3.53	2.42
Solyc03g120270.3.1	6.74	6.89	6.84
Solyc03g120490.3.1	4.47	4.32	4.29
Solyc03g121070.3.1	6.19	6.37	6.33
Solyc03g117760.3.1	4.67	4.57	5.16
Solyc03g119130.3.1	6.88	6.98	7.01
Solyc06g060960.2.1	4.42	4.41	3.75
Solyc03g005110.3.1	2.17	2.37	2.17
Solyc06g036467.1.1	2.33	2.67	1.18
Solyc06g073400.3.1	3.83	3.84	4.04
Solyc12g094640.2.1	11.18	10.18	11.7
Solyc11g028170.2.1	3	2.72	2.08
Solyc04g082570.3.1	5.57	5.45	5.41
Solyc09g065400.2.1	3.4	3.47	2.85
Solyc09g064800.2.1	4.95	4.86	5.22
Solyc09g091460.3.1	7.54	7.6	7.55
Solyc01g111610.3.1	1.66	1.54	1.58
Solyc07g042035.1.1	0.55	0.43	0.34
Solyc10g078240.2.1	5.26	5.81	4.98
Solyc06g048460.2.1	3.91	4.02	3.89
Solyc01g073690.2.1	6.64	6.78	7.06
Solyc02g079960.3.1	4.44	4.2	4.64
Solyc01g010580.3.1	5.91	6.17	6.48
Solyc03g120900.2.1	2.92	3.42	3.03
Solyc06g068450.2.1	6.06	6.14	4.63
Solyc09g091450.3.1	3.94	4.05	4.06
Solyc08g006960.3.1	5.37	5.49	5.37
Solyc02g084360.3.1	8.38	8.45	8.16
Solyc09g007440.3.1	2.99	2.93	2.87
Solyc02g092390.3.1	2.26	1.82	1.67
Solyc07g007840.2.1	4.73	4.42	3.99
Solyc12g017450.2.1	4.95	5.1	5.34
Solyc04g081340.3.1	4.72	4.45	4.83
Solyc05g054040.3.1	1.65	1.79	2.14
Solyc05g008015.1.1	1.1	-3.51	-0.1
Solyc08g083320.3.1	8.11	8	7.35
Solyc12g040320.2.1	1.28	1.48	1.65
Solyc01g109860.3.1	1.28	1.54	1.62
Solyc02g086900.3.1	4.49	4.76	4.42
Solyc01g097950.3.1	4.94	5.04	6.03
Solyc01g106430.3.1	8.26	8.12	8.96
Solyc11g042920.2.1	0.98	1.44	1.55
Solyc07g042930.3.1	2.98	3.14	2.74
Solyc07g008955.1.1	6.54	6.7	6.75
Solyc12g013650.2.1	3.86	4.11	3.37
Solyc03g032140.3.1	4.45	4.3	3.95
Solyc10g012360.1.1	0.34	0.54	0.55
Solyc03g116790.3.1	6.88	6.89	7.17
Solyc05g052030.1.1	5.31	4.98	5.27
Solyc09g082120.3.1	4.59	4.73	4.21
Solyc06g076640.3.1	5.94	6.26	6.99
Solyc03g025920.3.1	3.5	3.35	3.23
Solyc06g074540.3.1	0.12	0.53	1.09
Solyc08g081570.3.1	5.95	6.25	5.91
Solyc11g008820.2.1	0.39	-1.54	0.51
Solyc01g066690.3.1	4.69	4.76	5.06
Solyc07g066520.3.1	4.47	4.39	4.38
Solyc04g074685.1.1	3.55	3.72	3.98
Solyc02g079430.3.1	3.72	3.68	2.07
Solyc10g080080.2.1	7.17	6.82	7.64
Solyc11g062020.2.1	4.79	4.71	4.83
Solyc12g009610.2.1	5.65	5.49	5.42
Solyc04g079180.3.1	6.22	6.29	6.33
Solyc07g065600.3.1	1.86	2.04	2.6
Solyc12g056790.2.1	6.25	6.28	5.64
Solyc01g096890.3.1	2.81	2.69	2.97
Solyc02g091310.2.1	2.1	2.6	2.39
Solyc12g044730.2.1	1.62	1.1	1.12
Solyc08g074410.3.1	5.54	5.62	5.58
Solyc02g094420.3.1	6.26	5.9	6.59
Solyc02g071120.3.1	5.54	5.69	5.88
Solyc10g018520.1.1	5.25	5.39	5.11
Solyc10g076300.2.1	2.59	2.28	3.31
Solyc07g062920.3.1	4.9	4.85	4.92
Solyc08g080140.3.1	5.37	5.65	6.2
Solyc08g075800.2.1	3.78	3.98	3.14
Solyc04g014210.3.1	6.45	6.49	5.69
Solyc07g008280.3.1	3.55	3.43	2.75
Solyc02g093120.3.1	4.26	4.19	3.89
Solyc06g051905.1.1	0.77	0.76	0.54
Solyc07g064080.3.1	5.09	4.94	5.09
Solyc01g104240.3.1	4.16	4.19	3.65
Solyc01g100130.3.1	5.69	5.66	5.91
Solyc08g063010.3.1	2.72	2.78	3.38
Solyc09g011730.3.1	4.83	4.99	5.23
Solyc09g090550.3.1	1.85	2.2	2.23
Solyc07g053220.2.1	6.01	6.14	5.34
Solyc04g077050.3.1	6.01	6.39	5.79
Solyc01g099590.3.1	2.84	2.52	2.67
Solyc03g034390.1.1	-1.97	-2.92	0.4
Solyc12g008730.2.1	5.55	5.64	6.11
Solyc08g074755.1.1	1.71	1.67	2.08
Solyc02g065590.3.1	4.41	4.56	4.5
Solyc05g051680.3.1	4.3	4.17	4.33
Solyc01g105460.3.1	5.24	5.1	5.64
Solyc02g022920.1.1	2.38	2.52	2.25
Solyc04g009650.3.1	1.68	1.68	1.37
Solyc01g110400.2.1	3	2.97	3.23
Solyc11g066160.1.1	2.1	2.53	2.51
Solyc09g009890.3.1	5.58	5.59	5.77
Solyc02g067980.3.1	5.06	5.08	4.8
Solyc05g015740.2.1	0.91	0.93	0.04
Solyc01g067620.3.1	1.29	1.92	0.43
Solyc01g088430.3.1	2.57	2.01	1.09
Solyc11g072860.2.1	3.61	4.15	5.52
Solyc03g112210.1.1	2.62	3.09	1.52
Solyc02g084950.3.1	1.72	1.83	1.12
Solyc06g011450.2.1	4.87	4.99	5.01
Solyc06g076820.1.1	3.2	3.4	3.54
Solyc08g080120.3.1	4.8	4.96	4.52
Solyc03g115810.3.1	5.65	5.6	5.55
Solyc12g014290.2.1	5.83	5.93	5.64
Solyc10g081955.1.1	6.71	6.78	6.65
Solyc03g119755.1.1	4.55	4.52	4.8
Solyc02g090200.3.1	3.76	3.75	2.75
Solyc07g066370.3.1	2.71	2.46	2.48
Solyc07g066220.3.1	6.39	6.49	6.1
Solyc03g112280.3.1	2.52	2.29	0.13
Solyc07g026865.1.1	1.99	2.07	2.59
Solyc04g077610.3.1	3.94	3.94	4.3
Solyc03g007900.3.1	3.03	3.16	3.49
Solyc05g012080.3.1	3.54	3.87	3.99
Solyc01g006890.3.1	3.78	3.43	4.17
Solyc08g006040.3.1	5.79	6.08	6.8
Solyc06g016760.2.1	3.47	3.59	3.73
Solyc02g094260.1.1	3.65	3.34	3.41
Solyc02g012000.1.1	2.77	2.19	3.83
